timestamp_ms,target_frequency_hz,target_midi,target_note_name,raw_frequency_hz,normalized_frequency_hz,normalization_applied,normalization_reason,detected_midi,detected_note_name,pitch_error_cents,absolute_pitch_error_cents,confidence,voiced_probability,classification,rms,peak,syllable_index,phrase_index,section_index
4750,349.228231,65,F4,350.094852,350.094852,false,,65.042908,F4,4.290789,4.290789,0.94,,PITCHED,0.11,0.198,3,1,1
4800,349.228231,65,F4,350.416718,350.416718,false,,65.058817,F4,5.881698,5.881698,0.94,,PITCHED,0.11,0.198,3,1,1
4850,349.228231,65,F4,346.821295,346.821295,false,,64.880268,F4,-11.973249,11.973249,0.94,,PITCHED,0.11,0.198,3,1,1
4900,349.228231,65,F4,346.032094,346.032094,false,,64.840828,F4,-15.917207,15.917207,0.94,,PITCHED,0.11,0.198,3,1,1
4950,349.228231,65,F4,349.943901,349.943901,false,,65.035442,F4,3.54417,3.54417,0.94,,PITCHED,0.11,0.198,3,1,1
5000,349.228231,65,F4,352.421156,352.421156,false,,65.157564,F4,15.756413,15.756413,0.94,,PITCHED,0.11,0.198,3,1,1
5050,349.228231,65,F4,349.732901,349.732901,false,,65.025,F4,2.5,2.5,0.94,,PITCHED,0.11,0.198,3,1,1
5100,349.228231,65,F4,347.065152,347.065152,false,,64.892436,F4,-10.756413,10.756413,0.94,,PITCHED,0.11,0.198,3,1,1
5150,349.228231,65,F4,349.522028,349.522028,false,,65.014558,F4,1.45583,1.45583,0.94,,PITCHED,0.11,0.198,3,1,1
5200,349.228231,65,F4,353.473288,353.473288,false,,65.209172,F4,20.917207,20.917207,0.94,,PITCHED,0.11,0.198,3,1,1
5250,349.228231,65,F4,352.66895,352.66895,false,,65.169732,F4,16.973249,16.973249,0.94,,PITCHED,0.11,0.198,3,1,1
5300,349.228231,65,F4,349.050419,349.050419,false,,64.991183,F4,-0.881698,0.881698,0.94,,PITCHED,0.11,0.198,3,1,1
5350,349.228231,65,F4,349.371324,349.371324,false,,65.007092,F4,0.709211,0.709211,0.94,,PITCHED,0.11,0.198,3,1,1
5400,349.228231,65,F4,353.642542,353.642542,false,,65.21746,F4,21.745976,21.745976,0.94,,PITCHED,0.11,0.198,3,1,1
5450,349.228231,65,F4,355.101138,355.101138,false,,65.288718,F4,28.871753,28.871753,0.94,,PITCHED,0.11,0.198,3,1,1
5500,349.228231,65,F4,351.777616,351.777616,false,,65.125922,F4,12.592193,12.592193,0.94,,PITCHED,0.11,0.198,3,1,1
5550,349.228231,65,F4,349.947459,349.947459,false,,65.035618,F4,3.561769,3.561769,0.94,,PITCHED,0.11,0.198,3,1,1
5600,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,
5650,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,
5700,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,
5750,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,
5800,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,
5850,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,
5900,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,
5950,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,
6000,,,,,,false,,,,,,0,,SILENCE,0.002,0.004,,,
